"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","j_sub_region","species","Region"
"55",1514.47185470364,5712.0248134789,16.151186014445,148.756664892684,436.513870874723,1246.41436006855,9117.2361900655,1.01430348844539,15000,0,1,"Nr[4,4]",4,4,"BBSA","2.2"
"56",3212.19373424608,5529.13160065734,111.217326485563,671.458939634807,1568.48040477083,3598.0045086858,16140.7822303281,1.00722775590107,6521,0,1,"Nr[5,4]",5,4,"DUNL","2.2"
"57",2511.73160278626,6849.78262815971,49.646125504499,348.410945949857,919.394784004959,2414.15430278073,14568.5745260233,1.0209859249835,10397,0,1,"Nr[6,4]",6,4,"LESA","2.2"
"58",6926.40225455936,11832.0395375076,360.303220307768,1739.10789538519,3752.69048276156,7956.81190680326,33059.9499560488,1.04474465120877,6025,0,1,"Nr[7,4]",7,4,"PESA","2.2"
"59",793.636762267863,3159.93457575294,5.794622208789,66.5441734298542,210.249301854842,630.611350751565,4943.21618606642,1.05778035620386,12306,0,1,"Nr[8,4]",8,4,"REKN","2.2"
"60",2430.01389032578,5543.01536495076,30.0758009198824,312.453156859721,935.727739663018,2465.76224038162,14072.4906878713,1.00932392144841,7202,0,1,"Nr[9,4]",9,4,"REPH","2.2"
"61",2577.56955341763,7193.52159237576,36.83415591874,309.924925030019,885.102884490413,2382.19379646053,15193.0598116091,1.02004730714191,15000,0,1,"Nr[10,4]",10,4,"RNPH","2.2"
"62",2488.4084775321,10298.6159055023,16.6982969201575,184.926175459294,585.159668884985,1828.28409331632,15599.4339756703,1.0131057394392,15000,0,1,"Nr[11,4]",11,4,"RUTU","2.2"
"63",2567.55367741576,7674.33602291787,107.983067320338,565.050900954287,1213.36541610403,2569.07492653945,12657.5636586274,1.15179708441086,2030,0,1,"Nr[12,4]",12,4,"SAND","2.2"
"64",2433.35543658817,12216.4833040894,32.4597843794217,278.524980009038,761.659095272432,2049.64398138493,14193.2665001732,1.13384968586079,15000,0,1,"Nr[13,4]",13,4,"SEPL","2.2"
"65",4138.71998985171,5899.5431966027,262.398185177625,1191.7758996369,2424.16177024028,4966.14912179843,18477.1050374348,1.00571676152834,8632,0,1,"Nr[14,4]",14,4,"SESA","2.2"
"66",1682.09052590633,3662.64249122898,38.0876073739312,280.073262185324,719.243406896554,1775.89965421054,9189.74886081804,1.04173566726913,3609,0,1,"Nr[15,4]",15,4,"STSA","2.2"
