"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","habitat","j_sub_region","species","Region"
"362",19086.3656831939,36845.0545591441,1511.81256558784,5714.8781435969,11253.7640333484,22376.574820022,82781.984650201,1.13439946179734,3959,0,1,"n[5,1,8]",5,"1",8,"DUNL","4.1"
"363",484.390003542777,1554.35481543759,0.799811052391296,21.4442690900669,91.2192738375292,350.681378387386,3511.6803737116,1.02297600093704,15000,0,1,"n[6,1,8]",6,"1",8,"LESA","4.1"
"364",1507.35271927414,3303.09250563875,10.6201418432963,153.098357843809,492.550375255205,1449.73280893427,9317.00765532469,1.00204924228891,11943,0,1,"n[7,1,8]",7,"1",8,"PESA","4.1"
"365",132.426597133214,571.6027519611,0.0589597863570061,2.76774528482737,14.908585604469,74.6688394881286,961.872486124607,1.02077092591118,10230,0,1,"n[8,1,8]",8,"1",8,"REKN","4.1"
"366",87115.7787138871,76307.8210805929,16199.2870671066,41000.0247624568,65936.1734853692,107026.662572426,279694.568272637,1.00105583969914,13101,0,1,"n[9,1,8]",9,"1",8,"REPH","4.1"
"367",575.192121218175,2261.0047557788,0.411495606400244,16.1235050128519,83.2611485853337,366.407596367892,4178.80276139249,1.00705591938304,15000,0,1,"n[10,1,8]",10,"1",8,"RNPH","4.1"
"368",525.853509203016,2980.13406741245,0.150020966523871,7.58054220608429,46.2320590175154,238.708485197606,3950.26525025592,1.00223991447985,15000,0,1,"n[11,1,8]",11,"1",8,"RUTU","4.1"
"369",539.785558963291,2209.69763643132,3.70261447417957,50.5153830303011,154.151395071258,434.385001693768,3185.09616152093,1.05413444990029,4026,0,1,"n[12,1,8]",12,"1",8,"SAND","4.1"
"370",341.13328964004,1508.70642609049,0.312177374865071,10.1059981975826,49.4129418279721,212.104667910331,2336.53219973288,1.02579127196674,15000,0,1,"n[13,1,8]",13,"1",8,"SEPL","4.1"
"371",778.517539817635,1676.31068481224,7.21254317580016,90.0646076107007,278.921986220344,799.559898660706,4707.90161193726,1.01307732486658,15000,0,1,"n[14,1,8]",14,"1",8,"SESA","4.1"
"372",319.45879637468,948.370816340054,0.626692865251917,16.2970230590277,69.7722859467932,249.621820400689,2225.35430103431,1.0109828395568,15000,0,1,"n[15,1,8]",15,"1",8,"STSA","4.1"
"373",125.401539517823,362.931184465968,0.257576861610079,5.81663913967695,25.3903478851117,98.4575333398799,933.085702453011,1.00327689255506,15000,0,1,"n[16,1,8]",16,"1",8,"WISN","4.1"
"374",30608.0148929412,35383.6276776645,3296.16834327554,10907.3292436511,20040.0683387588,37243.6991442638,119822.731591955,1.00445635901412,9154,0,1,"n[17,1,8]",17,"1",8,"WRSA","4.1"
"375",158365.190649594,157777.517720558,21846.7754553002,63219.8065337424,112054.900386485,197156.88292306,582683.141954282,1.0011619557065,3949,0,1,"n[1,2,8]",1,"2",8,"AMGP","4.1"
"376",9468.7848085719,34511.7110036687,33.9763072715259,569.765423485017,2103.64558986576,7304.66625403533,63755.3049269737,1.01769865782108,15000,0,1,"n[2,2,8]",2,"2",8,"BASA","4.1"
